City_ID,city,lat,lng,max_temp,humidity,cloudiness,speed,country,date
299,muana,-49.2167,-1.5283,84.36,70,81,5.21,BR,1672682383
300,aswan,32.907,24.0934,67.3,24,0,9.22,EG,1672682187
301,bratsk,101.6142,56.1325,-10.71,98,100,2.66,RU,1672682384
302,nador,-2.9287,35.174,64.47,67,0,1.14,MA,1672682385
303,alice springs,133.8833,-23.7,81.95,74,100,6.91,AU,1672682281
304,nisia floresta,-35.2086,-6.0911,85.01,61,90,13.2,BR,1672682385
305,faanui,-151.75,-16.4833,80.47,76,81,13.09,PF,1672682386
306,ribas do rio pardo,-53.7592,-20.4431,89.91,46,100,5.06,BR,1672682386
307,claresholm,-113.5852,50.0333,19.31,79,5,2.3,CA,1672682387
308,saint-joseph,55.6167,-21.3667,79.18,79,60,5.26,RE,1672682387
309,grand gaube,57.6608,-20.0064,79.2,71,88,9.73,MU,1672682388
310,sokoni,39.55,-6.4333,82.26,75,93,14.5,TZ,1672682388
311,vestmannaeyjar,-20.2734,63.4427,40.19,70,40,9.22,IS,1672682388
312,kharp,65.8081,66.8014,-7.02,97,100,14.81,RU,1672682389
313,grindavik,-22.4338,63.8424,36.07,93,75,13.8,IS,1672682389
314,shache,77.2406,38.4167,21.92,37,79,4.03,CN,1672682390
315,tigzirt,4.1198,36.8886,59.79,49,100,2.89,DZ,1672682390
316,baijiantan,85.1833,45.6333,9.23,94,100,2.66,CN,1672682391
317,astana,71.446,51.1801,24.75,86,100,15.66,KZ,1672682391
318,bolondron,-81.4469,22.7633,87.76,44,6,10.31,CU,1672682392
319,flin flon,-101.865,54.7682,12.04,85,20,6.91,CA,1672682392
320,peniche,-9.3811,39.3558,55.29,62,18,8.77,PT,1672682393
321,esperance,121.9,-33.8667,59.43,81,18,5.61,AU,1672682393
322,svetlogorsk,29.7333,52.6333,43.95,93,100,8.46,BY,1672682393
323,palmer,-72.3287,42.1584,50.22,61,94,9.66,US,1672682394
324,kahului,-156.47,20.8947,75.85,82,1,5.01,US,1672682394
